work_0,idle0,heavy_0,work_1,idle1,heavy_1,work_2,idle2,heavy_2,work_3,idle3,heavy_3,chunktime, total_idle, total_heavy
0.0032459,0.0011098003,2667,0.000399,0.0039567,0,0.0003793,0.0039764,0,0.0004484,0.0039073,0,0.0043557,0.012950201,2667
0.0031745,6.0399994e-05,2667,0.0003673,0.0028676,0,0.0005519,0.0026830002,0,0.0003695,0.0028654002,0,0.0032349,0.008476401,2667
0.0031759,0.00013089995,2667,0.0003639,0.0029429,0,0.0005365,0.0027703,0,0.0003672,0.0029396,0,0.0033068,0.0087837,2667
0.0032221,0.00016529998,2667,0.0003617,0.0030256999,0,0.0005696,0.0028178,0,0.0003758,0.0030115999,0,0.0033874,0.0090204,2667
0.0031788,5.7599973e-05,2667,0.0006108,0.0026256,0,0.0010851,0.0021513,0,0.0004752,0.0027612,0,0.0032364,0.0075957,2667
0.0031428,0.0001662001,2667,0.000364,0.002945,0,0.0005477,0.0027613002,0,0.000363,0.002946,0,0.003309,0.0088185,2667
0.0031317,0.00012150011,2667,0.0003744,0.0028788,0,0.0005929,0.0026603001,0,0.0003719,0.0028813002,0,0.0032532,0.008541901,2667
0.0031317,0.00012669992,2667,0.0004025,0.0028559,0,0.0006695,0.0025888998,0,0.0003817,0.0028767,0,0.0032584,0.008448199,2667
0.0031388,0.00012550014,2667,0.0003607,0.0029036,0,0.0005593,0.002705,0,0.0003638,0.0029005,0,0.0032643,0.0086346,2667
0.0031944,5.9899874e-05,2667,0.0003923,0.002862,0,0.0006898,0.0025645,0,0.0003654,0.0028889,0,0.0032543,0.0083753,2667
0.0031282,9.7999815e-05,2667,0.0003662,0.00286,0,0.0005538,0.0026723999,0,0.0003703,0.0028559,0,0.0032262,0.0084863,2667
0.0031639,2.0399923e-05,2667,0.0003686,0.0028157,0,0.0005593,0.002625,0,0.0003683,0.002816,0,0.0031843,0.0082771,2667
0.0034392,8.10998e-05,2667,0.0003893,0.0031309999,0,0.0003743,0.003146,0,0.0003663,0.0031539998,0,0.0035203,0.009512099,2667
0.0031964,0.00012450013,2667,0.000362,0.0029589,0,0.0005497,0.0027712001,0,0.000374,0.0029469,0,0.0033209,0.0088015,2667
0.0031963,6.500003e-05,2667,0.000359,0.0029023,0,0.0006777,0.0025836,0,0.0003615,0.0028998,0,0.0032613,0.0084507,2667
0.0031285,0.00016980013,2667,0.0003661,0.0029322002,0,0.0005487,0.0027496,0,0.00037,0.0029283,0,0.0032983,0.0087799,2667
0.0032875,3.6099926e-05,2667,0.0003726,0.002951,0,0.0005843,0.0027393,0,0.0003734,0.0029501999,0,0.0033236,0.0086766,2667
0.0031502,7.2200084e-05,2667,0.0005081,0.0027143,0,0.0007314,0.002491,0,0.0003626,0.0028598001,0,0.0032224,0.008137301,2667
0.0031795,8.889986e-05,2667,0.0003601,0.0029083,0,0.0005431,0.0027253,0,0.0003731,0.0028953,0,0.0032684,0.0086178,2667
0.003352,5.7599973e-05,2667,0.0003622,0.0030474,0,0.0007662,0.0026433999,0,0.0003572,0.0030524,0,0.0034096,0.008800799,2667
0.0034141,0.00015369989,2667,0.0005601,0.0030077,0,0.0003658,0.003202,0,0.0003885,0.0031792999,0,0.0035678,0.0095427,2667
0.0031353,0.00011819997,2667,0.0005955,0.002658,0,0.000369,0.0028845,0,0.0003672,0.0028863,0,0.0032535,0.008547,2667
0.0031685,0.00015729992,2667,0.0003667,0.0029591,0,0.0005843,0.0027414998,0,0.0003622,0.0029636,0,0.0033258,0.0088214995,2667
0.003116,0.00012729992,2667,0.0003692,0.0028740999,0,0.0005461,0.0026971998,0,0.0003597,0.0028835998,0,0.0032433,0.0085822,2667
0.0032226,5.809986e-05,2667,0.0003818,0.0028988998,0,0.0007041,0.0025765998,0,0.0003655,0.0029151998,0,0.0032807,0.008448799,2667
0.0031811,9.720004e-05,2667,0.000365,0.0029133,0,0.000561,0.0027172999,0,0.000362,0.0029163,0,0.0032783,0.008644099,2667
0.003134,4.869979e-05,2667,0.0003692,0.0028135,0,0.0005562,0.0026264999,0,0.000374,0.0028086998,0,0.0031827,0.008297399,2667
0.0031231,1.6000122e-05,2667,0.0003701,0.0027690001,0,0.0005647,0.0025744,0,0.0003624,0.0027767,0,0.0031391,0.0081361,2667
0.0031242,5.3500058e-05,2667,0.0005956,0.0025821002,0,0.0004073,0.0027704001,0,0.0003593,0.0028184,0,0.0031777,0.008224401,2667
